x tiempo
4 36.700000
8 39.170000
12 80.617000
16 136.761700
20 212.976170
24 248.797617
28 221.179762
32 276.017976
36 337.101798
40 458.110180
44 511.711018
48 597.071102
52 704.307110
56 816.130711
60 933.913071
64 1113.691307
68 1214.069131
72 1366.606913
76 1544.060691
80 1672.406069
84 1854.840607
88 2048.584061
92 2226.058406
96 2423.105841
100 2661.810584
104 2855.081058
108 3056.708106
112 3366.370811
116 3532.337081
120 3774.333708
124 4057.933371
128 4284.693337
132 4594.169334
136 4884.616933
140 5191.461693
144 5577.746169
148 5792.274617
152 6217.127462
156 6564.312746
160 6769.831275
164 7155.983127
168 7489.598313
172 7817.559831
176 8391.755983
180 8619.475598
184 9405.047560
188 9508.104756
192 9950.410476
196 10517.241048
200 10904.724105
204 11597.672410
208 12208.967241
212 12437.596724
216 12899.059672
220 13494.605967
224 13983.960597
228 14400.796060
232 15596.479606
236 15855.547961
240 16058.854796
244 16855.385480
248 17308.538548
252 17744.253855
256 18406.425385
260 19401.442539
264 19907.044254
268 20593.104425
272 21219.710443
276 21911.171044
280 22417.717104
284 23434.071710
288 24101.507171
292 25079.550717
296 25593.555072
300 26431.055507
304 27206.205551
308 28147.320555
312 28580.132056
316 29536.513206
320 30318.751321
324 31001.175132
328 32010.917513
332 32767.691751
336 33659.469175
340 34805.546918
344 35398.954692
348 36158.195469
352 37058.419547
356 38115.641955
360 39106.264195
364 39981.126420
368 41053.012642
372 42084.501264
376 43171.750126
380 43995.075013
384 45123.407501
388 47573.640750
392 47141.764075
396 47989.076408
400 49312.307641
404 50458.730764
408 51640.773076
412 52530.777308
416 53981.177731
420 54877.417773
424 56168.441777
428 57102.644178
432 59233.164418
436 60071.116442
440 61416.711644
444 62042.171164
448 63058.117116
452 64178.511712
456 65691.551171
460 67464.855117
464 68865.485512
468 70574.448551
472 73078.344855
476 72899.634486
480 80042.363449
484 75935.336345
488 76967.433634
492 78134.943363
496 79213.994336
500 80634.099434
504 82526.609943
508 83721.360994
512 84333.936099
516 87010.693610
520 89871.669361
524 91991.366936
528 93718.536694
532 96064.053669
536 98400.605367
540 100488.360537
544 116126.236054
548 106724.923605
552 108023.292361
556 110408.929236
560 112989.192924
564 115145.319292
568 117679.231929
572 119895.223193
576 122330.022319
580 124337.902232
584 126162.990223
588 127753.999022
592 130087.199902
596 131747.319990
600 133603.431999
604 136084.043200
608 142658.204320
612 141029.720432
616 144530.872043
620 148131.287204
624 152687.928720
628 177579.192872
632 166502.419287
636 158359.641929
640 163785.064193
644 164047.606419
648 165359.760642
652 178448.176064
656 171921.617606
660 181352.561761
664 174575.556176
668 175628.355618
672 180657.035562
676 182603.003556
680 182041.100356
684 183603.910036
688 184891.991004
692 190063.299100
696 190798.629910
700 195816.562991
704 201097.356299
708 205478.935630
712 203638.493563
716 206078.749356
720 211290.674936
724 209463.767494
728 231037.776749
732 213157.377675
736 228023.137767
740 219265.513777
744 222911.451378
748 231374.245138
752 230265.024514
756 235120.002451
760 249374.600245
764 230016.260025
768 243975.026002
772 258729.402600
776 253405.640260
780 253580.664026
784 255754.266403
788 262445.326640
792 265075.432664
796 255115.943266
800 273936.194327
