x tiempo
4 11.000000
8 34.000000
12 72.700000
16 127.970000
20 197.597000
24 279.759700
28 288.475970
32 263.747597
36 317.074760
40 396.107476
44 470.710748
48 581.171075
52 656.517107
56 755.051711
60 907.405171
64 993.540517
68 1130.854052
72 1241.385405
76 1418.538541
80 1582.453854
84 1745.145385
88 1898.914539
92 2052.791454
96 2245.679145
100 2456.767915
104 2641.676791
108 2833.767679
112 3110.376768
116 3270.137677
120 3487.713768
124 3747.871377
128 3974.387138
132 4237.238714
136 4513.623871
140 4818.662387
144 5163.066239
148 5391.706624
152 5739.270662
156 6119.527066
160 6257.652707
164 6613.665271
168 6932.366527
172 7228.036653
176 7726.703665
180 7991.670367
184 8809.667037
188 8814.366704
192 9200.436670
196 9707.043667
200 10095.504367
204 10678.050437
208 11351.305044
212 11566.530504
216 11968.453050
220 12434.245305
224 12912.624531
228 13320.262453
232 14189.626245
236 14392.162625
240 14863.416262
244 15585.541626
248 16084.654163
252 16382.365416
256 17047.836542
260 17985.383654
264 18492.438365
268 19106.443837
272 19589.244384
276 20409.324438
280 20903.132444
284 21688.813244
288 22454.181324
292 23113.618132
296 23743.161813
300 24534.616181
304 25092.961618
308 25886.496162
312 26502.749616
316 27408.874962
320 28151.687496
324 28765.968750
328 29718.896875
332 30447.789687
336 31160.978969
340 32168.297897
344 32982.229790
348 33575.722979
352 34410.672298
356 35410.667230
360 36329.966723
364 37083.396672
368 38045.639667
372 39061.863967
376 39964.586397
380 40819.158640
384 41836.215864
388 43714.921586
392 43781.592159
396 44513.359216
400 45691.635922
404 46651.363592
408 47817.436359
412 48617.943636
416 49583.694364
420 50628.169436
424 51789.116944
428 52782.111694
432 54373.611169
436 54859.161117
440 55968.316112
444 57086.431611
448 58273.743161
452 59433.174316
456 60495.517432
460 61547.451743
464 62630.245174
468 63848.424517
472 65351.442452
476 66564.744245
480 73129.974425
484 69441.797442
488 69873.379744
492 71445.937974
496 72572.993797
500 73702.499380
504 75257.649938
508 76400.064994
512 78150.506499
516 79870.850650
520 82120.685065
524 84390.468506
528 86669.346851
532 89201.134685
536 91087.013469
540 93312.701347
544 107729.770135
548 99413.777013
552 100322.277701
556 102753.427770
560 104987.342777
564 106985.434278
568 109578.543428
572 111580.654343
576 113743.665434
580 115706.566543
584 117154.156654
588 118651.415665
592 120704.941567
596 122649.794157
600 124215.979416
604 126243.997942
608 132600.799794
612 130310.679979
616 132959.867998
620 135690.786800
624 138785.278680
628 153963.927868
632 146568.592787
636 145536.759279
640 146869.475928
644 147787.847593
648 150685.884759
652 154105.888476
656 155251.088848
660 166970.708885
664 160975.570888
668 161318.757089
672 167046.175709
676 168199.717571
680 169931.571757
684 168649.057176
688 176708.105718
692 175352.310572
696 178744.831057
700 181701.483106
704 184932.148311
708 191391.714831
712 191835.571483
716 192813.457148
720 192049.545715
724 195669.154571
728 214470.315457
732 198856.231546
736 206871.723155
740 206312.572315
744 207759.957232
748 212719.395723
752 220749.239572
756 214339.323957
760 232372.232396
764 228106.723240
768 227978.472324
772 239105.047232
776 239733.504723
780 241506.350472
784 244569.335047
788 231159.233505
792 235581.023350
796 238627.902335
800 261438.490234
